Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
"c1d1ab55-4e1f-484b-9c34-cf368ad8abf6,""2020-08-02, 03:54:53 PM"",CloudTrail,ListKeys,,,,us-east-1,,177.45.29.113"
"28ddd274-9f11-4534-9bd0-651148d36beb,""2020-08-02, 03:54:51 PM"",CloudTrail,DeleteTrail,CloudTrail Trail,""[{""""resourceType"""":""""AWS::CloudTrail::Trail"""",""""resourceName"""":""""arn:aws:cloudtrail:us-east-1:163909141523:trail/Udacity_Trail""""}]"",,us-east-1,,177.45.29.113"
"59184836-fc23-4eab-a95e-bd358198d93f,""2020-08-02, 03:54:50 PM"",CloudTrail,ListKeys,,,,us-east-1,,177.45.29.113"
"154b7164-2a52-492e-b778-2920aee26eb5,""2020-08-02, 03:54:49 PM"",CloudTrail,ListKeys,,,,us-east-1,,177.45.29.113"
"16c6a885-7a08-47de-bbb3-228d8a87364e,""2020-08-02, 03:54:49 PM"",CloudTrail,ListTags,,,,us-east-1,,177.45.29.113"
"5c29b195-ceaa-4ffe-b66e-65611f703e43,""2020-08-02, 03:54:49 PM"",CloudTrail,ListFunctions20150331,,,,us-east-1,,177.45.29.113"
"76ee5d12-177c-4b63-ac85-b11a31757683,""2020-08-02, 03:54:49 PM"",CloudTrail,GetInsightSelectors,,,,us-east-1,InsightNotEnabledException,177.45.29.113"
"b4bde8c8-f4bc-4d26-89c4-45b097c31ceb,""2020-08-02, 03:54:49 PM"",CloudTrail,ListAliases,,,,us-east-1,,177.45.29.113"
"ba791770-79c7-4cb5-88fc-c597528663d5,""2020-08-02, 03:54:49 PM"",CloudTrail,ListTopics,,,,us-east-1,,177.45.29.113"
"e2a6a1b4-260b-4e00-9f1b-18f42d8231f5,""2020-08-02, 03:54:49 PM"",CloudTrail,ListAliases,,,,us-east-1,,177.45.29.113"
"efac583f-4017-4dfe-966a-cc2351a9688a,""2020-08-02, 03:54:49 PM"",CloudTrail,GetBucketLocation,,,,us-east-1,,177.45.29.113"
"fc73e75b-eb93-447d-a0dd-1a64ce5934bb,""2020-08-02, 03:54:49 PM"",CloudTrail,GetTrailStatus,,,,us-east-1,,177.45.29.113"
"62a4e323-6b00-45b2-83cf-4bd4dbe4a5bf,""2020-08-02, 03:54:48 PM"",CloudTrail,GetEventSelectors,,,,us-east-1,,177.45.29.113"
"b1c142f6-d720-4c36-b6f3-cf2f3e163705,""2020-08-02, 03:54:36 PM"",CloudTrail,GetTrailStatus,,,,us-east-1,,177.45.29.113"
"0bd6e7ce-322f-4468-a994-1a85b28e6ce8,""2020-08-02, 03:54:30 PM"",CloudTrail,GetEventSelectors,,,,us-east-1,,177.45.29.113"
"18e0e5fc-23cd-43c5-834f-47a6558ab81e,""2020-08-02, 03:54:30 PM"",CloudTrail,DescribeEventAggregates,,,,us-east-1,AccessDenied,177.45.29.113"
"208f1dc3-962b-45e6-bbdf-7f44f24d7865,""2020-08-02, 03:54:30 PM"",CloudTrail,DescribeOrganization,,,,us-east-1,AccessDenied,177.45.29.113"
"3fd866f1-7e0d-4bae-bc2d-09beb9dee7c7,""2020-08-02, 03:54:30 PM"",CloudTrail,LookupEvents,,,,us-east-1,,177.45.29.113"
"49c8496b-2a31-413c-ab84-56b76f947d7c,""2020-08-02, 03:54:30 PM"",CloudTrail,GetTrailStatus,,,,us-east-1,,177.45.29.113"
"5b4c5d14-69c0-4bb5-9df7-500832569340,""2020-08-02, 03:54:30 PM"",CloudTrail,LookupEvents,,,,us-east-1,,177.45.29.113"
"7775af19-84e3-41b1-b63f-74bbb48d10c5,""2020-08-02, 03:54:30 PM"",CloudTrail,DescribeTrails,,,,us-east-1,,177.45.29.113"
"82fbce1f-8556-4021-8be8-995410e68cfa,""2020-08-02, 03:54:30 PM"",CloudTrail,DescribeConfigurationRecorders,,,,us-east-1,AccessDenied,177.45.29.113"
"05e9e27c-3937-4ec2-8501-80b8e8edee2a,""2020-08-02, 03:54:26 PM"",CloudTrail,ListBuckets,,,,us-east-1,,177.45.29.113"
"f4d265a5-8e23-4145-a8bb-7e67181928ba,""2020-08-02, 03:54:26 PM"",CloudTrail,DescribeTrails,,,,us-east-1,,177.45.29.113"
